state_name,blue_collar_probability,manufacturing_probability,construction_probability,mining_logging_probability
Indiana,0.214,0.17,0.042,0.002
Wisconsin,0.19899999999999998,0.159,0.038,0.001
Iowa,0.18899999999999997,0.136,0.051,0.001
Alabama,0.179,0.132,0.043,0.005
Michigan,0.17600000000000002,0.139,0.036000000000000004,0.002
Kentucky,0.17600000000000002,0.13,0.04,0.005
Wyoming,0.175,0.033,0.075,0.067
Arkansas,0.172,0.126,0.040999999999999995,0.005
Mississippi,0.16899999999999998,0.125,0.039,0.006
North Dakota,0.166,0.057,0.07400000000000001,0.035
Ohio,0.165,0.125,0.038,0.002
South Carolina,0.16399999999999998,0.11599999999999999,0.046,0.002
Kansas,0.162,0.114,0.043,0.005
Louisiana,0.16,0.069,0.071,0.019
Utah,0.158,0.08800000000000001,0.064,0.006
Idaho,0.158,0.09300000000000001,0.06,0.005
Oregon,0.156,0.102,0.049,0.004
Tennessee,0.156,0.11599999999999999,0.039,0.001
North Carolina,0.155,0.107,0.046,0.001
South Dakota,0.152,0.09699999999999999,0.053,0.002
Minnesota,0.152,0.11,0.04,0.002
Oklahoma,0.151,0.078,0.047,0.027000000000000003
Washington,0.149,0.08900000000000001,0.057,0.002
Texas,0.147,0.07,0.057999999999999996,0.018000000000000002
Vermont,0.147,0.095,0.049,0.003
Nebraska,0.146,0.095,0.05,0.001
New Hampshire,0.142,0.102,0.038,0.001
Pennsylvania,0.14,0.095,0.040999999999999995,0.004
Missouri,0.136,0.092,0.042,0.001
Alaska,0.133,0.04,0.049,0.044000000000000004
Illinois,0.133,0.095,0.036000000000000004,0.001
Georgia,0.131,0.08900000000000001,0.04,0.002
Maine,0.13,0.08199999999999999,0.044000000000000004,0.004
West Virginia,0.13,0.062,0.04,0.027000000000000003
Connecticut,0.129,0.09300000000000001,0.035,0.0
California,0.128,0.079,0.047,0.001
Colorado,0.12300000000000001,0.055,0.06,0.009000000000000001
Rhode Island,0.12,0.08199999999999999,0.037000000000000005,0.0
Montana,0.115,0.042,0.057999999999999996,0.015
Arizona,0.113,0.059000000000000004,0.05,0.004
Massachusetts,0.11,0.069,0.040999999999999995,0.0
Virginia,0.109,0.059000000000000004,0.048,0.002
New Mexico,0.10800000000000001,0.032,0.052000000000000005,0.024
Delaware,0.10300000000000001,0.057,0.046,0.046
Nevada,0.10300000000000001,0.034,0.059000000000000004,0.011000000000000001
Florida,0.1,0.042,0.055999999999999994,0.001
Maryland,0.098,0.038,0.059000000000000004,0.0
New Jersey,0.09699999999999999,0.059000000000000004,0.038,0.0
New York,0.08800000000000001,0.048,0.04,0.001
Hawaii,0.08,0.022000000000000002,0.057999999999999996,0.057999999999999996
